Entity,Code,Year,"Other renewables (TWh, substituted energy)","Biofuels (TWh, substituted energy)","Solar (TWh, substituted energy)","Wind (TWh, substituted energy)","Hydropower (TWh, substituted energy)","Nuclear (TWh, substituted energy)","Gas (TWh, substituted energy)","Oil (TWh, substituted energy)","Coal (TWh, substituted energy)","Traditional biomass (TWh, substituted energy)"
World,OWID_WRL,1800,0,0,0,0,0,0,0,0,97,5556
World,OWID_WRL,1810,0,0,0,0,0,0,0,0,128,5833
World,OWID_WRL,1820,0,0,0,0,0,0,0,0,153,6111
World,OWID_WRL,1830,0,0,0,0,0,0,0,0,264,6389
World,OWID_WRL,1840,0,0,0,0,0,0,0,0,356,6944
World,OWID_WRL,1850,0,0,0,0,0,0,0,0,569,7222
World,OWID_WRL,1860,0,0,0,0,0,0,0,0,1061,6944
World,OWID_WRL,1870,0,0,0,0,0,0,0,6,1642,6944
World,OWID_WRL,1880,0,0,0,0,0,0,0,33,2542,6944
World,OWID_WRL,1890,0,0,0,0,38.88888931274414,0,33,89,3856,6667
World,OWID_WRL,1900,0,0,0,0,47.22222137451172,0,64,181,5728,6111
World,OWID_WRL,1910,0,0,0,0,91.66666412353516,0,142,397,8656,6389
World,OWID_WRL,1920,0,0,0,0,177.77777099609375,0,233,889,9833,6944
World,OWID_WRL,1930,0,0,0,0,363.8888854980469,0,603,1756,10125,7222
World,OWID_WRL,1940,0,0,0,0,533.3333129882812,0,875,2653,11586,7222
World,OWID_WRL,1950,0,0,0,0,925,0,2092,5444,12603,7500
World,OWID_WRL,1960,0,0,0,0,1913.888916015625,0,4472,11097,15442,8889
World,OWID_WRL,1965,55.9490852355957,9.029861450195312,0,0,2729.886474609375,72.46934509277344,6303.798828125,17989.603515625,16140.1787109375,9162
World,OWID_WRL,1966,61.737606048583984,9.209843635559082,0,0,2909.135986328125,97.70497131347656,6868.79443359375,19341.146484375,16324.09375,9218
World,OWID_WRL,1967,62.35337448120117,9.383715629577637,0,0,2973.96923828125,116.35517883300781,7374.03955078125,20732.13671875,16060.8095703125,9274
World,OWID_WRL,1968,69.03191375732422,9.553799629211426,0,0,3132.30517578125,147.87188720703125,8044.33154296875,22488.33203125,16301.146484375,9331
World,OWID_WRL,1969,72.5587158203125,9.723980903625488,0,0,3316.98046875,175.31134033203125,8833.41796875,24353,16798.736328125,9387
World,OWID_WRL,1970,80.33794403076172,11.0390625,0,0,3473.426513671875,223.80801391601562,9614.7919921875,26505.18359375,17058.607421875,9444
World,OWID_WRL,1971,87.33906555175781,11.649558067321777,0,0,3628.94189453125,311.2872314453125,10293.2001953125,27994.796875,16965.77734375,9499
World,OWID_WRL,1972,93.40202331542969,12.946932792663574,0,0,3798.634033203125,431.79925537109375,10861.7236328125,30112.263671875,17158.63671875,9553
World,OWID_WRL,1973,100.24630737304688,12.586639404296875,0,0,3852.9951171875,578.57373046875,11377.837890625,32534.806640625,17667.849609375,9608
World,OWID_WRL,1974,106.87296295166016,12.167814254760742,0,0,4232.13671875,756.4817504882812,11659.865234375,32078.1796875,17682.05078125,9663
World,OWID_WRL,1975,108.14720153808594,11.480279922485352,0,0,4284.33251953125,1049.44970703125,11659.7412109375,31715.76953125,18024.537109375,9718
World,OWID_WRL,1976,120.57106018066406,11.8699312210083,0,0,4267.33935546875,1227.7115478515625,12354.1435546875,33752.46484375,18688.484375,9774
